code,iata,icao,lat,lon,elevation,name,city,region,country,continent
UTK,UTK,03N,11.222,169.852005,4.0,Utirik Airport,Utirik Island,Utirik,Marshall Islands,Europe
,,03PN,41.066861,-76.180806,479.0,M.P. Metals Heliport,Berwick,Pennsylvania,United States,Europe
,,04VA,36.898,-82.078,2004.0,Russell County Medical Center Heliport,Lebanon,Virginia,United States,Europe
,,05AK,61.66830063,-149.1880035,620.0,Wasilla Creek Airpark,Palmer,Alaska,United States,Europe
,,05CO,40.2149839,-104.9844228,4978.0,Rancho De Aereo Airport,Mead,Colorado,United States,Europe
PQS,PQS,0AK,61.934601,-162.899994,305.0,Pilot Station Airport,Pilot Station,Alaska,United States,Europe
,,12PA,39.8495,-77.184167,612.0,Helicopter Applicators Inc Heliport,Gettysburg,Pennsylvania,United States,Europe
,,14NY,40.7975502014,-73.4179000854,222.0,Windy's Heliport,Melville,New York,United States,Europe
NUP,NUP,16A,60.905591,-162.440454,12.0,Nunapitchuk Airport,Nunapitchuk,Alaska,United States,Europe
PPV,PPV,19P,56.328800201416,-133.61000061035,0.0,Port Protection Seaplane Base,Port Protection,Alaska,United States,Europe
,,30TX,30.2323611,-98.6549722,1463.0,Burg Lake Aero Airport,Stonewall,Texas,United States,Europe
,,3IN6,38.588333,-85.505833,750.0,Holloway Field,New Washington,Indiana,United States,Europe
,,3LA7,30.076753,-91.948969,30.0,Variable Bor Ram Heliport,Broussard,Louisiana,United States,Europe
,,45NR,34.316552,-77.768284,29.0,NHRMC-Ed North Heliport,Wilmington,North Carolina,United States,Europe
ATT,ATT,4A2,60.866699,-162.272995,17.0,Atmautluak Airport,Atmautluak,Alaska,United States,Europe
KOZ,KOZ,4K5,57.925362,-152.496715,55.0,Ouzinkie Airport,Ouzinkie,Alaska,United States,Europe
,,4OR1,44.912,-123.001502752,209.0,McNary ARNG Field Heliport,Salem,Oregon,United States,Europe
WHD,WHD,4Z7,55.903324,-130.009975,0.0,Hyder Seaplane Base,Hyder,Alaska,United States,Europe
WKK,WKK,5A8,59.2826004028,-158.617996216,66.0,Aleknagik / New Airport,Aleknagik,Alaska,United States,Europe
WFB,WFB,5KE,55.349899,-131.677002,0.0,Ketchikan Harbor Seaplane Base,Ketchikan,Alaska,United States,Europe
,,5XS5,32.542777777800005,-95.70861111110001,545.0,Wits End Ranch Airport,Van,Texas,United States,Europe
TSS,TSS,6N5,40.74259948730469,-73.97209930419922,10.0,East 34th Street Heliport,New York,New York,United States,Europe
QNY,QNY,6N7,40.734001,-73.9729,0.0,New York Skyports Inc Seaplane Base,New York,New York,United States,Europe
TEK,TEK,7KA,60.871449,-146.690297,62.0,Tatitlek Airport,Tatitlek,Alaska,United States,Europe
,,84CO,39.344239,-104.841906,6480.0,Rampart Heliport,Castle Rock,Colorado,United States,Europe
,,97XS,33.432833,-96.479467,741.0,Tilghman Airport,Van Alstyne,Texas,United States,Europe
CHU,CHU,9A3,61.579102,-159.216003,244.0,Chuathbaluk Airport,Chuathbaluk,Alaska,United States,Europe
KCQ,KCQ,A79,56.2550010681,-158.774993896,50.0,Chignik Lake Airport,Chignik Lake,Alaska,United States,Europe
,,AE-0001,24.214693069458008,51.44989013671875,0.0,Ras Sumeira,,Abu Dhabi Emirate,United Arab Emirates,Europe
AEI,AEI,AEI,36.12888,-5.441118,98.0,Algeciras Heliport,Algeciras,Cádiz,Spain,Europe
,,AF15,37.423301696777344,69.4302978515625,1437.0,Qara Tepa Heliport,,Takhar Province,Afghanistan,Europe
AFT,AFT,AGAF,-9.19138888889,160.948611111,23.0,Afutara Aerodrome,Bila,Malaita,Solomon Islands,Europe
ATD,ATD,AGAT,-8.87333,161.011002,0.0,Uru Harbour Airport,Atoifi,Malaita,Solomon Islands,Europe
AKS,AKS,AGGA,-8.70256996155,160.682006836,5.0,Auki Airport,Auki,Malaita,Solomon Islands,Europe
BNY,BNY,AGGB,-11.302222222200001,159.798333333,60.0,Bellona/Anua Airport,Anua,Rennell and Bellona,Solomon Islands,Europe
CHY,CHY,AGGC,-6.711944,156.396111,0.0,Choiseul Bay Airport,,Choiseul,Solomon Islands,Europe
BAS,BAS,AGGE,-6.990745,155.886656,5.0,Ballalae Airport,Ballalae,Western,Solomon Islands,Europe
FRE,FRE,AGGF,-8.1075,159.576996,0.0,Fera/Maringe Airport,Fera Island,Isabel,Solomon Islands,Europe
HIR,HIR,AGGH,-9.4280004501343,160.05499267578,28.0,Honiara International Airport,Honiara,Capital Territory (Honiara),Solomon Islands,Europe
MBU,MBU,AGGI,-9.7475004196167,159.83900451660156,0.0,Babanakira Airport,Mbambanakira,Guadalcanal,Solomon Islands,Europe
IRA,IRA,AGGK,-10.449700355500001,161.897994995,54.0,Ngorangora Airport,Kirakira,Makira,Solomon Islands,Europe
SCZ,SCZ,AGGL,-10.72029972076416,165.7949981689453,18.0,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,Temotu,Solomon Islands,Europe
MUA,MUA,AGGM,-8.327969551086426,157.26300048828125,10.0,Munda Airport,,Western,Solomon Islands,Europe
GZO,GZO,AGGN,-8.09778022766,156.863998413,13.0,Nusatupe Airport,Gizo,Western,Solomon Islands,Europe
MNY,MNY,AGGO,-7.416940212249756,155.56500244140625,0.0,Mono Airport,Stirling Island,Western,Solomon Islands,Europe
RNL,RNL,AGGR,-11.533900260925293,160.06300354003906,0.0,Rennell/Tingoa Airport,Rennell Island,Rennell and Bellona,Solomon Islands,Europe
NNB,NNB,AGGT,-10.847994,162.454108,3.0,Santa Ana Airport,Santa Ana Island,Makira,Solomon Islands,Europe
RUS,RUS,AGGU,-9.861669540409999,160.824996948,0.0,Marau Airport,Marau,Guadalcanal,Solomon Islands,Europe
VAO,VAO,AGGV,-7.585559844970703,158.7310028076172,0.0,Suavanao Airport,Suavanao,Isabel,Solomon Islands,Europe
XYA,XYA,AGGY,-9.092816,159.21841,60.0,Yandina Airport,Yandina,Central,Solomon Islands,Europe
